pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,Q_in_kW,W_pump_kW,W_exp_kW,Q_out_kW,net_kW,thermal_eff,bal_kW
1800000.0,500000.0,0.7,373.15,393.04234797107597,3.035192299882532,36.41804936953529,359.6594909014232,33.38285706965276,0.08493450449290875,-5.684341886080802e-14
1800000.0,500000.0,0.7,383.15,418.98604782083777,3.035192299882532,38.62083182716649,383.4004082935538,35.58563952728396,0.0849327554279342,-5.684341886080802e-14
1800000.0,500000.0,0.7,393.15,444.1504850874539,3.035192299882532,40.63628396914445,406.549393418192,37.60109166926192,0.08465845007882454,-5.684341886080802e-14
1800000.0,500000.0,0.7,403.15,468.9643748265104,3.035192299882532,42.526555258476755,429.47301186791617,39.49136295859422,0.08420972909339593,-5.684341886080802e-14
1800000.0,500000.0,0.7,413.15,493.66537947709605,3.035192299882532,44.326791137596246,452.37378063938235,41.291598837713714,0.08364288960560878,0.0
1800000.0,500000.0,0.7,423.15,518.3960773324676,3.035192299882532,46.05878058675374,475.3724890455964,43.02358828687121,0.08299366096336895,0.0
1800000.0,500000.0,0.7,433.15,543.2468604934697,3.035192299882532,47.736981808669164,498.54507098468315,44.70178950878663,0.08228632829682775,-1.1368683772161603e-13
1800000.0,500000.0,0.7,443.15,568.2778781670888,3.035192299882532,49.37155508957442,521.941515377397,46.33636278969189,0.08153821320503306,0.0
1800000.0,500000.0,0.7,453.15,593.5306818883954,3.035192299882532,50.969974344755755,545.5958998435221,47.934782044873224,0.08076209622788573,0.0
1800000.0,500000.0,0.75,373.15,393.04234797107597,3.035192299882532,39.019338610216394,357.0582016607421,35.98414631033386,0.09155284792106406,0.0
1800000.0,500000.0,0.75,383.15,418.98604782083777,3.035192299882532,41.37946267196408,380.6417774487562,38.344270372081546,0.09151681916739601,0.0
1800000.0,500000.0,0.75,393.15,444.1504850874539,3.035192299882532,43.53887568122626,403.6468017061102,40.50368338134373,0.09119360383760133,-5.684341886080802e-14
1800000.0,500000.0,0.75,403.15,468.9643748265104,3.035192299882532,45.56416634836793,426.435400778025,42.528974048485395,0.09068700381392222,0.0
1800000.0,500000.0,0.75,413.15,493.66537947709605,3.035192299882532,47.492990504567395,449.20758127241123,44.45779820468486,0.09005654447912832,-5.684341886080802e-14
1800000.0,500000.0,0.75,423.15,518.3960773324676,3.035192299882532,49.34869348580763,472.0825761465425,46.3135011859251,0.08933999158373733,0.0
1800000.0,500000.0,0.75,433.15,543.2468604934697,3.035192299882532,51.146766223574176,495.13528656977815,48.111573923691644,0.08856300408250585,-1.1368683772161603e-13
1800000.0,500000.0,0.75,443.15,568.2778781670888,3.035192299882532,52.89809473882965,518.4149757281418,49.86290243894712,0.08774387382414717,-1.1368683772161603e-13
1800000.0,500000.0,0.75,453.15,593.5306818883954,3.035192299882532,54.61068679795251,541.9551873903254,51.57549449806998,0.08689608822576081,0.0
1800000.0,500000.0,0.8,373.15,393.04234797107597,3.035192299882532,41.62062785089749,354.45691242006103,38.58543555101496,0.09817119134921937,-5.684341886080802e-14
1800000.0,500000.0,0.8,383.15,418.98604782083777,3.035192299882532,44.13809351676167,377.8831466039586,41.10290121687914,0.09810088290685783,0.0
1800000.0,500000.0,0.8,393.15,444.1504850874539,3.035192299882532,46.441467393307946,400.7442099940285,43.406275093425414,0.09772875759637785,-5.684341886080802e-14
1800000.0,500000.0,0.8,403.15,468.9643748265104,3.035192299882532,48.6017774382591,423.3977896881338,45.56658513837657,0.0971642785344485,0.0
1800000.0,500000.0,0.8,413.15,493.66537947709605,3.035192299882532,50.659189871538544,446.04138190544006,47.62399757165601,0.09647019935264786,-5.684341886080802e-14
1800000.0,500000.0,0.8,423.15,518.3960773324676,3.035192299882532,52.63860638486152,468.79266324748863,49.603414084978986,0.0956863222041057,0.0
1800000.0,500000.0,0.8,433.15,543.2468604934697,3.035192299882532,54.55655063847907,491.72550215487325,51.521358338596535,0.09483967986818373,-1.1368683772161603e-13
1800000.0,500000.0,0.8,443.15,568.2778781670888,3.035192299882532,56.42463438808499,514.8884360788865,53.38944208820246,0.09394953444326147,-1.1368683772161603e-13
1800000.0,500000.0,0.8,453.15,593.5306818883954,3.035192299882532,58.25139925114939,538.3144749371286,55.216206951266855,0.09303008022363608,0.0
1800000.0,500000.0,0.85,373.15,393.04234797107597,3.035192299882532,44.2219170915786,351.8556231793799,41.186724791696065,0.10478953477737468,0.0
1800000.0,500000.0,0.85,383.15,418.98604782083777,3.035192299882532,46.89672436155938,375.12451575916094,43.86153206167685,0.10468494664631992,-5.684341886080802e-14
1800000.0,500000.0,0.85,393.15,444.1504850874539,3.035192299882532,49.34405910538963,397.8416182819468,46.3088668055071,0.10426391135515437,-5.684341886080802e-14
1800000.0,500000.0,0.85,403.15,468.9643748265104,3.035192299882532,51.63938852815027,420.3601785982426,48.60419622826774,0.1036415532549748,0.0
1800000.0,500000.0,0.85,413.15,493.66537947709605,3.035192299882532,53.8253892385097,442.8751825384689,50.79019693862717,0.10288385422616741,0.0
1800000.0,500000.0,0.85,423.15,518.3960773324676,3.035192299882532,55.928519283915286,465.50275034843486,52.893326984032754,0.10203265282447382,0.0
1800000.0,500000.0,0.85,433.15,543.2468604934697,3.035192299882532,57.96633505338407,488.31571773996825,54.93114275350154,0.10111635565386182,-1.1368683772161603e-13
1800000.0,500000.0,0.85,443.15,568.2778781670888,3.035192299882532,59.95117403734033,511.3618964296311,56.9159817374578,0.10015519506237577,-1.1368683772161603e-13
1800000.0,500000.0,0.85,453.15,593.5306818883954,3.035192299882532,61.892111704346256,534.6737624839316,58.856919404463724,0.09916407222151136,1.1368683772161603e-13
1800000.0,500000.0,0.9,373.15,393.04234797107597,3.035192299882532,46.823206332259694,349.25433393869884,43.78801403237716,0.11140787820552997,-5.684341886080802e-14
1800000.0,500000.0,0.9,383.15,418.98604782083777,3.035192299882532,49.655355206356965,372.36588491436333,46.620162906474434,0.11126901038578171,0.0
1800000.0,500000.0,0.9,393.15,444.1504850874539,3.035192299882532,52.24665081747144,394.939026569865,49.21145851758891,0.11079906511393114,-5.684341886080802e-14
1800000.0,500000.0,0.9,403.15,468.9643748265104,3.035192299882532,54.67699961804156,417.32256750835137,51.64180731815903,0.11011882797550135,-5.684341886080802e-14
1800000.0,500000.0,0.9,413.15,493.66537947709605,3.035192299882532,56.99158860548085,439.7089831714978,53.95639630559832,0.10929750909968695,-5.684341886080802e-14
1800000.0,500000.0,0.9,423.15,518.3960773324676,3.035192299882532,59.218432182969174,462.21283744938097,56.18323988308664,0.1083789834448422,0.0
1800000.0,500000.0,0.9,433.15,543.2468604934697,3.035192299882532,61.37611946828896,484.90593332506336,58.34092716840643,0.1073930314395397,-1.1368683772161603e-13
1800000.0,500000.0,0.9,443.15,568.2778781670888,3.035192299882532,63.47771368659556,507.8353567803759,60.442521386713025,0.10636085568148988,-1.1368683772161603e-13
1800000.0,500000.0,0.9,453.15,593.5306818883954,3.035192299882532,65.53282415754313,531.0330500307349,62.4976318576606,0.10529806421938663,-1.1368683772161603e-13
1800000.0,550000.0,0.7,373.15,383.9601818678619,2.9450432492604595,33.63126779318461,353.27395732393774,30.686224543924155,0.07992033026613338,-5.684341886080802e-14
1800000.0,550000.0,0.7,383.15,409.9038817176237,2.9450432492604595,35.69203995355579,377.15688501332835,32.746996704295334,0.07988945253964251,-5.684341886080802e-14
1800000.0,550000.0,0.7,393.15,435.06831898423985,2.9450432492604595,37.57519695052586,400.4381652829744,34.6301537012654,0.07959704761338841,0.0
1800000.0,550000.0,0.7,403.15,459.8822087232963,2.9450432492604595,39.33969960869802,423.48755236385875,36.39465635943756,0.07913908315886958,-5.684341886080802e-14
1800000.0,550000.0,0.7,413.15,484.583213373882,2.9450432492604595,41.01888677531748,446.509369847825,38.073843526057026,0.07857028983932426,0.0
1800000.0,550000.0,0.7,423.15,509.3139112292535,2.9450432492604595,42.633413812665616,469.62554066584835,39.68837056340516,0.07792516498835733,0.0
1800000.0,550000.0,0.7,433.15,534.1646943902557,2.9450432492604595,44.19698043157172,492.9127572079445,41.25193718231126,0.07722700061523156,0.0
1800000.0,550000.0,0.7,443.15,559.1957120638748,2.9450432492604595,45.71921406073833,516.421541252397,42.77417081147787,0.07649230830760008,0.0
1800000.0,550000.0,0.7,453.15,584.4485157851813,2.9450432492604595,47.20719766950467,540.1863613649372,44.262154420244215,0.07573319672269152,-1.1368683772161603e-13
1800000.0,550000.0,0.75,373.15,383.9601818678619,2.9450432492604595,36.03350120698358,350.87172391013877,33.08845795772312,0.086176795199848,-5.684341886080802e-14
1800000.0,550000.0,0.75,383.15,409.9038817176237,2.9450432492604595,38.24147137880977,374.60745358807435,35.29642812954931,0.08610903605412662,0.0
1800000.0,550000.0,0.75,393.15,435.06831898423985,2.9450432492604595,40.25913958984904,397.75422264365125,37.314096340588584,0.08576606181692643,0.0
