pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,net_kW,thermal_eff,Q_in_kW,cost_proxy
1800000.0000000016,501035.7397736377,0.8999999999999947,408.2774062254572,109.57192325935632,0.10957192325935633,1000.0,229.20000000000078
1800000.0000000016,500055.4111565673,0.8999999991734724,408.2483362186706,109.70703298554052,0.10970703298554052,1000.0,229.20000009918348
1801804.2138321102,501035.7397736377,0.8999999999999947,377.8470532255568,111.32399882960767,0.11132399882960767,1000.0,229.39495274949508
1804917.6679460383,500000.0234750443,0.8999999998864142,375.615218202449,111.59628257189591,0.11159628257189591,1000.0,229.73183365554323
1826078.355990768,500000.05358689575,0.8999999999839706,375.87201711646946,112.36849999321687,0.11236849999321687,1000.0,232.0368648684619
1847650.663002747,500000.0079979608,0.8999999978784863,381.6590633707191,113.09319708913607,0.11309319708913607,1000.0,234.4143894294164
1863950.4214518494,500000.0065767895,0.8999999998401238,378.7055840905617,113.71584982560815,0.11371584982560815,1000.0,236.22933522810095
1881376.118482115,500000.000642001,0.8999999965833055,382.920218129263,114.28118360033866,0.11428118360033866,1000.0,238.18728338584822
1914252.4350079976,500000.0152819284,0.8999537239122635,387.7432822941049,115.31095329785046,0.11531095329785046,1000.0,241.93642467854983
2024396.8395387144,500000.0006441082,0.8999999962860291,437.76737638857577,115.38738308730385,0.11538738308730384,1000.0,254.94547736370657
1916995.1191070161,500000.000642001,0.8999999964967014,383.00674582490626,115.52236986861463,0.11552236986861464,1000.0,242.2461090207995
1986858.3431654337,500000.80503897095,0.8999999999957219,416.80874335049066,116.05362354085838,0.11605362354085838,1000.0,250.42818227469613
1942651.4098423847,500000.0064845405,0.899999999933663,380.87507901597434,116.3981636084334,0.11639816360843341,1000.0,245.2168350128386
1962211.3364515672,500000.47429050255,0.8999999999743449,384.474172841936,117.02639566156994,0.11702639566156993,1000.0,247.50819987005
2045195.5922891833,500000.80503897095,0.8999999955311906,416.80874335049066,118.07407100988135,0.11807407100988135,1000.0,257.4847508578302
2037112.5329664377,501009.33152931667,0.8999999611174434,411.44383024834485,118.09495057247898,0.11809495057247898,1000.0,256.4948288249749
1995713.4765806603,500000.059743135,0.8999999999934162,384.72487290283937,118.11460447394413,0.11811460447394413,1000.0,251.48616841896003
2095101.2743112666,500000.0535865204,0.8999999998418611,424.365406945443,119.08974256066836,0.11908974256066836,1000.0,263.6834805075975
2077574.7902172706,501009.33152931667,0.8999999611174434,411.44383024834485,119.44510670477402,0.11944510670477403,1000.0,261.48951493429684
2055800.5717684603,500000.00019575557,0.8999999895288142,401.1789490576478,119.52466575784815,0.11952466575784816,1000.0,258.7894809830481
2124049.9977864674,500001.250597667,0.89999997644049,410.70860129976165,121.12899032469687,0.12112899032469687,1000.0,267.34765462004196
2147842.184125231,500000.00936767366,0.8999999997275716,412.6755031739244,121.74050580406019,0.12174050580406019,1000.0,270.3967814699267
2169540.221379697,500000.04968920664,0.8999999998658197,419.2356840810295,121.9193151771187,0.12191931517711871,1000.0,273.20714318162953
2125327.408116409,500000.1911149505,0.8999999996795586,395.5482622991285,121.94830249604126,0.12194830249604127,1000.0,267.51049778917735
2197627.8235992026,500019.07983923546,0.8971316913107884,412.12262281570594,122.88620708842194,0.12288620708842193,1000.0,277.2312385744264
2200771.062478433,500000.00936767366,0.8999999997275716,413.5600525585016,123.30493946806851,0.12330493946806852,1000.0,277.3017981159649
2232379.5661979984,500000.00186909793,0.899999976342243,417.7151978353742,123.9528645498601,0.1239528645498601,1000.0,281.5055586662817
2212339.6483799727,500003.7702931427,0.8999999995149338,406.1785377317391,124.09959391644207,0.12409959391644207,1000.0,278.8334016520286
2243239.291711486,500000.0592332339,0.8999999999972972,417.7628335492005,124.27149180573099,0.124271491805731,1000.0,282.96367559667186
2282906.5935808294,500007.4200024673,0.8999999997896238,409.36670044776594,125.95670607968174,0.12595670607968174,1000.0,288.34987547568994
2285882.155507815,500007.4200024673,0.8999999999924613,409.36670044776594,126.04021399279611,0.1260402139927961,1000.0,288.7577168669763
2303323.7502799667,500000.7716361424,0.8999999999978824,395.773902133064,126.91293479852838,0.1269129347985284,1000.0,291.1590089583672
