boiler_Pa,condenser_Pa,expander_eff,boiler_outlet_K,net_kW,thermal_eff,Q_in_kW,cost_proxy
800000.0000000005,5000.000137517558,0.8999999999999734,787.8121137181873,293.1971505064161,0.2931971505064161,1000.0,196.00000000000324
800000.0000000005,5000.000137517558,0.8999999999999813,787.8121137181873,293.19715050641855,0.29319715050641854,1000.0,196.0000000000023
800000.0000000005,5000.000140236835,0.8999999999998511,813.1434263361358,297.4184326014804,0.2974184326014804,1000.0,196.0000000000179
849557.2096197305,5000.0000583596575,0.8999999998812852,813.1497788569725,299.58765374084686,0.29958765374084684,1000.0,199.96457678382424
894367.1883574936,5000.00039688887,0.8999999999779728,813.1499980996779,301.43951486316956,0.30143951486316956,1000.0,203.54937507124276
938583.1777403015,5000.002833556022,0.899999999999889,813.1499992507337,303.1758719829895,0.3031758719829895,1000.0,207.08665421923743
982053.0017188778,5000.000067506246,0.8999999999999075,813.1499993516852,304.80303915721504,0.304803039157215,1000.0,210.56424013752132
1001736.2577884085,5000.00324366033,0.899999999986032,813.1484549170499,305.51538054520614,0.30551538054520616,1000.0,212.13890062474886
1052641.9132674588,5000.000430299574,0.8999999999999663,813.149999547253,307.2939221746357,0.30729392217463575,1000.0,216.21135306140073
1092031.2029513014,5000.000049807798,0.8997444869192518,813.1499991261825,308.5225076251382,0.30852250762513816,1000.0,219.3931578057939
1131898.3953012582,5000.002877365828,0.8999999999780347,813.1499998754266,309.893644517933,0.309893644517933,1000.0,222.5518716267365
1198424.0833425238,5000.000207073039,0.8999999999942307,813.149998134865,311.9349327761903,0.3119349327761903,1000.0,227.8739266680942
1255785.1339866323,5000.0003543878565,0.8999999999514839,813.1497675722995,313.6031860768846,0.3136031860768846,1000.0,232.46281072475253
1301504.647073837,5000.001914432483,0.8999999999809911,813.1497915691828,314.8774327795637,0.3148774327795637,1000.0,236.12037176818802
1342808.4817449488,5000.002377390478,0.8999999999999917,813.1499963673112,315.9894374314958,0.31598943743149577,1000.0,239.4246785395969
1355269.8939552284,5000.000833234263,0.899999999987102,813.1484704495367,316.3177433909096,0.31631774339090957,1000.0,240.42159151796602
1405138.251725072,5000.000005028072,0.899999999651976,813.1499993907778,317.602120272889,0.31760212027288903,1000.0,244.41106017976867
1441269.3453788138,5000.00324366033,0.8999999993655368,813.1499776905292,318.5032971288539,0.3185032971288539,1000.0,247.3015477064407
1493552.6163398987,5000.000164310628,0.8999999999922675,813.1499543126462,319.7666799655138,0.3197666799655138,1000.0,251.48420930811977
1535968.9255918262,5000.000001239543,0.8999999999732998,813.149935710567,320.75829573620473,0.32075829573620473,1000.0,254.87751405055013
1620611.6304919159,5000.000398329819,0.8999999999957862,813.1498850127813,322.65458156712685,0.32265458156712684,1000.0,261.64893043985893
1662778.3886428694,5000.000150273165,0.8999999996368534,813.1499944672794,323.5611017825302,0.3235611017825302,1000.0,265.02227113500714
1684573.8461392648,5000.000000013074,0.8999999999972471,813.1499984306013,324.0203013517303,0.3240203013517303,1000.0,266.7659076914715
1737714.996187794,5000.002873526881,0.8999999999929645,813.1497963195884,325.1143377583885,0.3251143377583885,1000.0,271.01719969586776
1818511.5899579618,5000.000489749483,0.8999999999291222,813.1496674426782,326.7124668336007,0.32671246683360067,1000.0,277.4809272051423
1850280.10785974,5000.001936114421,0.8999999999998006,813.1499998919342,327.3206064715549,0.3273206064715549,1000.0,280.02240862880313
1880098.4136499236,5000.000489749483,0.8999999999377097,813.1496674426782,327.8814499364837,0.3278814499364837,1000.0,282.40787309946876
1923333.4134639893,5000.000833234263,0.8999999999869447,813.1484291349547,328.67814839357413,0.3286781483935741,1000.0,285.8666730786858
1962285.556193062,5000.000305731053,0.8999999999908354,813.1499509512566,329.38037575588305,0.329380375755883,1000.0,288.9828444965447
2020878.5158559775,5000.000828052096,0.8999999999982746,810.2178406485781,329.96959357653964,0.32996959357653965,1000.0,293.67028126868524
2045287.747354831,5000.002377390478,0.8999999999951477,813.1499963134703,330.8285579919969,0.3308285579919969,1000.0,295.6230197889688
2143184.2133254665,5000.000079022357,0.8998023212022062,813.1499945432397,332.38584558696175,0.33238584558696177,1000.0,303.47845852177255
2211134.149368266,5000.00086048579,0.8999984525723277,813.1499945674559,333.54458237480503,0.33354458237480505,1000.0,308.89091764078194
2273037.7106899563,5000.000062052357,0.8999999999978847,813.1499797914937,334.50432536367947,0.33450432536367947,1000.0,313.8430168554503
2355009.278408622,5000.01064909927,0.8999999999845624,813.1499996624523,335.73263108923385,0.33573263108923385,1000.0,320.40074227454227
2414676.9037420847,5000.000011966818,0.8999999999972971,813.1499624511763,336.59859682078695,0.33659859682078697,1000.0,325.1741522996911
2510663.3205348,5000.00086893212,0.8999999999906247,813.1499940844495,337.94491577258844,0.33794491577258845,1000.0,332.8530656439091
2527797.4634328936,5000.000011219063,0.8999999999757998,813.1499999674855,338.1794717564097,0.3381794717564097,1000.0,334.2237970775355
2628744.588635487,5000.000182472877,0.8999999999755351,813.149700582668,339.52774392153486,0.33952774392153484,1000.0,342.2995670937748
2725094.6391589507,5000.00086048579,0.8999999999267467,813.1499994963624,340.76404019418004,0.34076404019418005,1000.0,350.00757114150645
2817138.0425132196,5000.000033840021,0.8999999999950625,813.1171396752596,341.89730468225923,0.3418973046822592,1000.0,357.37104340165007
2913618.69668117,5000.0001141880375,0.8999999999906247,813.1497069418293,343.052793193307,0.343052793193307,1000.0,365.0894957356186
2994529.8332290286,5000.000166526441,0.8999999877800332,813.1497129613313,343.9866704390027,0.3439866704390027,1000.0,371.56238812471827
3083640.057706968,5000.000011096958,0.8999999999756383,813.1497147903891,344.9841951621899,0.3449841951621899,1000.0,378.69120461948086
3156763.7704614312,5000.000044768643,0.8999999999722107,813.1401304303016,345.7783815062254,0.3457783815062254,1000.0,384.5411016402492
3275941.1737793693,5000.000204692371,0.8999999999976993,813.1499968198603,347.0345370041744,0.3470345370041744,1000.0,394.0752939026257
3355334.944912008,5000.000054294461,0.8999999999377393,813.1499182646828,347.843201238666,0.34784320123866597,1000.0,400.4267956004319
3478327.926649604,5000.00000016641,0.8999999999981917,813.1499164975205,349.05568732810707,0.34905568732810704,1000.0,410.2662341321853
3617669.75709823,5000.000103011484,0.8999999996085708,813.1496764844115,350.37396285055144,0.35037396285055145,1000.0,421.41358061482987
3701902.8098865673,5000.000313579257,0.8999999999998873,813.1499895240904,351.14422892833113,0.35114422892833114,1000.0,428.15222479093893
3749445.352027366,5000.00233345579,0.8999999999414562,813.1499669789638,351.57049216692474,0.3515704921669247,1000.0,431.95562816921455
3841560.628400088,5000.000009879616,0.8999999999844566,813.1499660459998,352.3797574310503,0.35237975743105027,1000.0,439.32485027387224
3967310.403525041,5000.000094666423,0.8997444869192518,813.1499944672794,353.3498451063801,0.35334984510638007,1000.0,449.4154938516931
4043930.5838125716,5000.000028730931,0.8999999999957862,813.149884201912,354.08482562176584,0.35408482562176585,1000.0,455.5144467055114
4060787.2338152337,5000.00003134239,0.8999999999987535,813.1499991269113,354.2225885082004,0.3542225885082004,1000.0,456.8629787053683
4222997.005358035,5000.00000175999,0.8999999999839723,813.149982152672,355.51652769136587,0.3555165276913659,1000.0,469.8397604305661
4273011.128091416,5000.000204692371,0.8999999999976993,813.1499821951817,355.90436369076724,0.3559043636907672,1000.0,473.84089024758936
4358902.829227556,5000.000107229832,0.8999999996334986,813.1499991928698,356.5587480361118,0.3565587480361118,1000.0,480.7122263821846
