path,cost_proxy,net_kW
ORC,229.2,111.4078782055299
ORC,252.0,118.2534190511679
ORC,277.20000000000005,124.1571701563217
ORC,304.79999999999995,129.2937950008808
ORC,334.8,133.85774880512162
ORC,367.19999999999993,137.963714059236
ORC,402.0,141.5917894711356
ORC,439.20000000000005,144.9115462022817
ORC,478.79999999999995,147.9352606057486
ORC,520.8,150.6562804346043
