annual_reduction_tCO2
5.450903642173874459e+02
6.050594162686210211e+02
5.279622160321531510e+02
5.789636134703164316e+02
6.096879990700747385e+02
6.029703385070059767e+02
5.682082819554520938e+02
5.766712595804237935e+02
6.179290739518793316e+02
6.040644196724427957e+02
5.826125327194348529e+02
5.836788326761881081e+02
5.766452813503070729e+02
5.612943608471770176e+02
5.632073568683877056e+02
5.749798176674681827e+02
5.958020687043193675e+02
5.791180041112174877e+02
5.756602872703604135e+02
5.719012687949448264e+02
5.960148917603228256e+02
5.788511036597466273e+02
5.653324189244223135e+02
5.668886005614435817e+02
6.236265650775139875e+02
5.882306478720380483e+02
5.577371607027956770e+02
5.916005842700781159e+02
6.108606026516151815e+02
5.851450405834258390e+02
5.436033223243234715e+02
6.113265542918974234e+02
5.543839036158196905e+02
5.718840894848636935e+02
5.515332478146718813e+02
5.409213990067102031e+02
5.983924072337858888e+02
5.501222566928117885e+02
5.794014009204371405e+02
5.838526820836957540e+02
5.536279191723684789e+02
5.704481975695066467e+02
6.238546978970515511e+02
5.643507610720884031e+02
6.041283478150272686e+02
5.682497297884116279e+02
5.659732655092582263e+02
5.453533065306918388e+02
5.715227409652110282e+02
5.913833027545571213e+02
5.704505851906206999e+02
5.788976701721684321e+02
5.690436419815887348e+02
5.798019994926282834e+02
5.701851028754491608e+02
5.906613965458190023e+02
5.450546374916842751e+02
5.571561996194935773e+02
5.399781895457492737e+02
5.970623689739550173e+02
5.828998268897487378e+02
5.677793041275270980e+02
5.944743196547768775e+02
5.769268232157337479e+02
6.048829175863974115e+02
5.857239239127956125e+02
5.708727447339042556e+02
5.714769424674650509e+02
5.951649505655911980e+02
5.537702594510080871e+02
5.594375879342038616e+02
5.807236656294785462e+02
5.621413601144892027e+02
5.864776029991710402e+02
5.693195981964345265e+02
5.643448691916021289e+02
5.867166512128230806e+02
5.289770636557428816e+02
5.429501504668288590e+02
5.756867947808328836e+02
5.560041919455136394e+02
5.728934806118627421e+02
5.764467316168000934e+02
5.889950496561522186e+02
5.913967179871651751e+02
5.567473016417458211e+02
5.589008035942543984e+02
6.043464676555781807e+02
5.488195520787937767e+02
5.665816935821314928e+02
5.748581472796768139e+02
5.557567019343842958e+02
5.675095384144458421e+02
5.822612749253737547e+02
5.780009657834635846e+02
5.771259011746599299e+02
5.861094839805498395e+02
5.905289558818749356e+02
5.599521446083763294e+02
5.783080181567356703e+02
5.691362592173433086e+02
5.671986864954232033e+02
5.900596097973053702e+02
5.610229593319355672e+02
6.069347190236960614e+02
5.611030385139296186e+02
6.147845321434623429e+02
5.859566471573552917e+02
5.833137092371208610e+02
5.525027499077790480e+02
5.683918020817725392e+02
5.915971400509660043e+02
5.997601703702313216e+02
5.749649802515792771e+02
5.800056500722929513e+02
6.049340742739099142e+02
5.438544036892667464e+02
5.911372717431160027e+02
6.215784598516640926e+02
5.831553843428798700e+02
5.822863924570632435e+02
5.548525332537197983e+02
5.462681859437648200e+02
5.708321261082654701e+02
5.901851196429820448e+02
5.713815823253908093e+02
6.033963480393559848e+02
6.151280003571291672e+02
5.473608699382872373e+02
5.805627070452105727e+02
5.917370867934290573e+02
5.983460809733837777e+02
5.969862768138260662e+02
6.114526290652970602e+02
5.853529828964673243e+02
5.779260616333814369e+02
5.989220255124139385e+02
5.682404496570591164e+02
5.625561744511378492e+02
5.707549689780285007e+02
5.941453718392747305e+02
5.551739184253643771e+02
5.533999092983200399e+02
5.870245910514731804e+02
5.731273139669693819e+02
6.038929025127458772e+02
5.405823761948162200e+02
6.115489078981006514e+02
5.730965631427677636e+02
5.798266632318920983e+02
5.729624936516723892e+02
5.215710993331473446e+02
6.137874862361463784e+02
5.888108677351555116e+02
5.831202009066688561e+02
5.783772494866843772e+02
5.310340185624900187e+02
6.245857522035145166e+02
5.803267249384257411e+02
5.892112660882513637e+02
6.382320203216825121e+02
5.805067499094193408e+02
5.450717032758493588e+02
5.599104538958135890e+02
5.740716541294532362e+02
5.754635059168176667e+02
6.031877902250882926e+02
5.642586869142435262e+02
5.780745896293565238e+02
5.981328552686584317e+02
6.204234944383016455e+02
5.909373575823764213e+02
5.622888606236867872e+02
5.706471665856469144e+02
6.143519289581595331e+02
5.316721373502508641e+02
5.824923238717522054e+02
6.047160053500459753e+02
5.396823997496658194e+02
5.988720453745052055e+02
5.691634975439642403e+02
