boiler_Pa,condenser_Pa,expander_eff,boiler_outlet_K,Q_in_kW,W_pump_kW,W_exp_kW,Q_out_kW,net_kW,thermal_eff,bal_kW
800000.0,5000.0,0.7,453.15,2653.6898624896808,0.9988680333111261,521.7288035820629,2132.959926940929,520.7299355487518,0.1962286335375322,0.0
800000.0,5000.0,0.7,493.15,2746.156531122289,0.9988680333111261,544.5386514665023,2202.6167476890982,543.5397834331911,0.19792745871301784,-4.547473508864641e-13
800000.0,5000.0,0.7,533.15,2833.167709537934,0.9988680333111261,569.0962396559478,2265.0703379152974,568.0973716226366,0.20051667598431316,0.0
800000.0,5000.0,0.7,573.15,2918.114619941631,0.9988680333111261,595.6447794652465,2323.4687085096957,594.6459114319354,0.2037774347067387,0.0
800000.0,5000.0,0.7,613.15,3002.3773652677364,0.9988680333111261,624.1850069513432,2379.191226349704,623.186138918032,0.20756422764413546,4.547473508864641e-13
800000.0,5000.0,0.7,653.15,3086.637743984464,0.9988680333111261,654.6499221935728,2432.986689824202,653.6510541602617,0.2117679845761491,4.547473508864641e-13
800000.0,5000.0,0.7,693.15,3171.27312172533,0.9988680333111261,686.9539848258794,2485.318004932762,685.9551167925682,0.21630275616859346,0.0
800000.0,5000.0,0.7,733.15,3256.512453299582,0.9988680333111261,721.0114613910406,2536.4998599418523,720.0125933577294,0.2210992906316677,4.547473508864641e-13
800000.0,5000.0,0.7,773.15,3342.5051626204618,0.9988680333111261,756.7428901040782,2586.761140549694,755.7440220707671,0.22610107847321254,9.094947017729282e-13
800000.0,5000.0,0.7,813.15,3429.3541852144854,0.9988680333111261,794.0767358936803,2636.2763173541166,793.0778678603691,0.23126158017730877,-4.547473508864641e-13
800000.0,5000.0,0.75,453.15,2653.6898624896808,0.9988680333111261,558.9951466950672,2095.6935838279246,557.996278661756,0.2102718507347525,0.0
800000.0,5000.0,0.75,493.15,2746.156531122289,0.9988680333111261,583.4342694283952,2163.721129727205,582.435401395084,0.21209111527122473,0.0
800000.0,5000.0,0.75,533.15,2833.167709537934,0.9988680333111261,609.745971059944,2224.4206065113012,608.7471030266329,0.21486447871662157,0.0
800000.0,5000.0,0.75,573.15,2918.114619941631,0.9988680333111261,638.1908351413356,2280.922652833607,637.1919671080244,0.21835741569355135,0.0
800000.0,5000.0,0.75,613.15,3002.3773652677364,0.9988680333111261,668.7696503050108,2334.6065829960367,667.7707822716997,0.2224140076449555,4.547473508864641e-13
800000.0,5000.0,0.75,653.15,3086.637743984464,0.9988680333111261,701.4106309216851,2386.22598109609,700.4117628883739,0.22691738421633817,4.547473508864641e-13
800000.0,5000.0,0.75,693.15,3171.27312172533,0.9988680333111261,736.0221265991563,2436.2498631594854,735.0232585658451,0.2317754511683169,-4.547473508864641e-13
800000.0,5000.0,0.75,733.15,3256.512453299582,0.9988680333111261,772.5122800618294,2484.9990412710636,771.5134120285182,0.23691400634651377,0.0
800000.0,5000.0,0.75,773.15,3342.5051626204618,0.9988680333111261,810.7959536829413,2532.7080769708314,809.7970856496302,0.24227250108860396,4.547473508864641e-13
800000.0,5000.0,0.75,813.15,3429.3541852144854,0.9988680333111261,850.7965027432288,2579.556550504568,849.7976347099176,0.2478010694765166,0.0
800000.0,5000.0,0.8,453.15,2653.6898624896808,0.9988680333111261,596.2614898080718,2058.42724071492,595.2626217747606,0.22431506793197292,0.0
800000.0,5000.0,0.8,493.15,2746.156531122289,0.9988680333111261,622.3298873902885,2124.8255117653116,621.3310193569773,0.22625477182943177,0.0
800000.0,5000.0,0.8,533.15,2833.167709537934,0.9988680333111261,650.3957024639402,2183.770875107305,649.396834430629,0.2292122814489299,0.0
800000.0,5000.0,0.8,573.15,2918.114619941631,0.9988680333111261,680.7368908174248,2238.3765971575176,679.7380227841136,0.23293739668036406,0.0
800000.0,5000.0,0.8,613.15,3002.3773652677364,0.9988680333111261,713.3542936586784,2290.021939642369,712.3554256253673,0.23726378764577555,4.547473508864641e-13
800000.0,5000.0,0.8,653.15,3086.637743984464,0.9988680333111261,748.1713396497979,2339.4652723679774,747.1724716164867,0.24206678385652744,0.0
800000.0,5000.0,0.8,693.15,3171.27312172533,0.9988680333111261,785.0902683724337,2387.1817213862073,784.0914003391225,0.24724814616804053,0.0
800000.0,5000.0,0.8,733.15,3256.512453299582,0.9988680333111261,824.0130987326177,2433.4982226002758,823.0142306993065,0.25272872206135966,0.0
800000.0,5000.0,0.8,773.15,3342.5051626204618,0.9988680333111261,864.8490172618041,2478.6550133919686,863.8501492284929,0.25844392370399527,4.547473508864641e-13
800000.0,5000.0,0.8,813.15,3429.3541852144854,0.9988680333111261,907.5162695927773,2522.8367836550196,906.5174015594662,0.26434055877572443,-4.547473508864641e-13
800000.0,5000.0,0.85,453.15,2653.6898624896808,0.9988680333111261,633.5278329210765,2021.1608976019154,632.5289648877654,0.2383582851291934,0.0
800000.0,5000.0,0.85,493.15,2746.156531122289,0.9988680333111261,661.2255053521814,2085.929893803419,660.2266373188702,0.24041842838763866,0.0
800000.0,5000.0,0.85,533.15,2833.167709537934,0.9988680333111261,691.0454338679365,2143.121143703309,690.0465658346253,0.24356008418123828,0.0
800000.0,5000.0,0.85,573.15,2918.114619941631,0.9988680333111261,723.2829464935139,2195.8305414814286,722.2840784602027,0.24751737766717677,0.0
800000.0,5000.0,0.85,613.15,3002.3773652677364,0.9988680333111261,757.9389370123455,2245.437296288702,756.9400689790343,0.25211356764659537,4.547473508864641e-13
800000.0,5000.0,0.85,653.15,3086.637743984464,0.9988680333111261,794.9320483779102,2292.7045636398652,793.933180344599,0.2572161834967165,0.0
800000.0,5000.0,0.85,693.15,3171.27312172533,0.9988680333111261,834.1584101457107,2338.11357961293,833.1595421123995,0.262720841167764,4.547473508864641e-13
