pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,net_kW,thermal_eff,Q_in_kW
1800000.0000000016,501035.7397736377,0.8999999999999947,408.2774062254572,109.57192325935632,0.10957192325935633,1000.0
1863950.4214518494,500000.0065767895,0.8999999998401238,378.7055840905617,113.71584982560815,0.11371584982560815,1000.0
1995713.4765806603,500000.059743135,0.8999999999934162,384.72487290283937,118.11460447394413,0.11811460447394413,1000.0
2200771.062478433,500000.00936767366,0.8999999997275716,413.5600525585016,123.30493946806851,0.12330493946806852,1000.0
2333071.108072179,500000.0086892335,0.8999999996995579,402.58861642133684,127.59606241673094,0.12759606241673094,1000.0
2480469.557305323,500002.64234119444,0.8999999998699777,408.577509999977,131.1380838562408,0.1311380838562408,1000.0
2594794.554505885,500000.0592332339,0.8999999999972972,416.8932219822108,133.5347534316732,0.1335347534316732,1000.0
2735926.729003258,500000.00096004363,0.8990831268089025,412.89098426234887,136.5502609612558,0.13655026096125578,1000.0
2808776.40388384,500010.81615829776,0.89999999594908,413.41777290287826,138.1310480800605,0.13813104808006052,1000.0
2932725.089979519,500000.02332563995,0.8999999999970157,419.2085108659141,140.42647392872172,0.1404264739287217,1000.0
3051837.206236278,500000.0568527858,0.8999999974269921,424.7573249806325,142.48048243094075,0.14248048243094075,1000.0
3155033.217096703,500211.23477994464,0.8999999988736541,429.98311609753114,144.1138584241643,0.1441138584241643,1000.0
3290098.9347736095,500000.0062125549,0.899999997624799,433.3862712215776,146.2596568749739,0.1462596568749739,1000.0
3390776.4900965807,500034.5237585458,0.8999999977017633,439.06854175767944,147.66080169886183,0.14766080169886184,1000.0
3479507.904279377,500000.0007884213,0.8999999999825801,440.1138720940874,148.96722579785242,0.14896722579785243,1000.0
3599943.897905786,500000.0247016479,0.8999999999936401,445.32144200661554,150.5340338539024,0.1505340338539024,1000.0
